Player,TEAM,AGE,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,+/-
Charlie Villanueva,DAL,31,37,19,18,12.2,2.4,6.2,38.6,0.8,3.1,24.1,0.4,0.4,87.5,0.4,2.3,2.7,0.4,0.5,0.3,0.3,1.3,0,0,5.9,-2.5
Chase Budinger,PHX,28,39,20,19,16,1.7,4.2,40.2,0.5,1.6,29.5,0.8,1.1,70.5,0.6,1.9,2.5,1.1,0.6,0.5,0.2,0.9,0,0,4.6,0.7
Chris Andersen,MEM,37,7,4,3,5.2,0.6,1.4,40,0.3,0.7,40,0.4,0.6,75,0.4,0.9,1.3,0.4,0.3,0.1,0.4,0.6,0,0,1.9,-2.4
Chris Bosh,MIA,32,44,23,21,33.6,6.7,14.2,47,1.6,4.3,37.8,4.1,5.1,80.7,1,6.7,7.7,2.4,1.4,0.8,0.7,1.7,15,0,19.1,1.1
Chris Copeland,MIL,32,22,10,12,6.7,0.8,2.2,35.4,0.5,1.5,30.3,0.2,0.2,80,0,0.4,0.5,0.5,0.2,0.1,0,0.7,0,0,2.2,-3.8
Chris Johnson,UTA,26,34,17,17,10.8,1,2.7,37.6,0.4,1.3,27.3,0.4,0.6,75,0.3,1.4,1.6,0.8,0.6,0.6,0.2,1.2,0,0,2.9,-0.4
Chris Kaman,POR,34,6,4,2,9.8,1.5,3.8,39.1,0,0,0,0,0,0,0.5,1,1.5,0.8,0.7,0,0,1,0,0,3,-3.5
Chris Paul,LAC,31,38,26,12,32.3,6.6,14.6,45.1,1.4,3.7,38.7,3.9,4.4,88.6,0.6,3.3,3.8,9.7,2.8,2.1,0.2,2.8,19,0,18.5,7.5
Christian Wood,PHI,20,14,0,14,8.1,1.4,3.1,44.2,0.3,0.6,44.4,0.6,0.9,69.2,0.7,1.6,2.3,0.2,0.1,0.4,0.4,0.6,0,0,3.6,-1.1
Cleanthony Early,NYK,25,10,4,6,3.4,0.3,0.6,50,0.1,0.4,25,0,0,0,0,0.2,0.2,0.1,0.1,0.1,0.1,0.3,0,0,0.7,1.2
Cliff Alexander,POR,20,7,2,5,4.5,0.7,1.4,50,0,0,0,0,0,0,0.3,0.6,0.9,0,0.1,0.1,0.3,0,0,0,1.4,0.3
Clint Capela,HOU,22,44,23,21,21.6,3.2,5.6,56.9,0,0,0,1.1,2.5,43.8,2.8,4.4,7.2,0.8,1.1,1,1.2,2.5,9,0,7.5,0.6
Cody Zeller,CHA,23,40,18,22,24.8,3.2,6.5,49.6,0,0.2,0,2.6,3.5,73.6,1.8,4.1,5.9,0.9,0.9,0.9,0.7,3,2,0,9,-0.9
Cole Aldrich,LAC,27,21,16,5,11.8,2.5,4.7,53.1,0,0,0,1.4,1.9,72.5,1.1,2.8,4,1,0.9,0.8,0.7,2,1,0,6.3,0
Corey Brewer,HOU,30,45,23,22,20.1,2.4,6.6,36,0.8,2.7,29.5,1.3,1.6,80.8,0.5,2,2.5,1.5,1,1.1,0.1,2.1,0,0,6.9,-1.4
Cory Jefferson,PHX,25,7,2,5,6.5,1,2.9,35,0,0.1,0,0.3,0.6,50,0.7,1.4,2.1,0,0,0,0.1,1.1,0,0,2.3,-1.3
Cory Joseph,TOR,24,43,28,15,25.8,3,6.7,44.4,0.3,1.2,26.9,2,2.6,75.7,0.5,2,2.5,3,1.3,0.8,0.3,1.7,0,0,8.2,3.2
Courtney Lee,CHA,30,43,23,20,29.4,3.8,8.4,45,0.9,2.6,34.2,1.6,1.9,86.3,0.4,2.2,2.6,1.4,0.9,1.1,0.3,1.5,0,0,10,-0.4
Cristiano Felicio,CHI,23,3,1,2,2,0.3,0.7,50,0,0.3,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,0,0.7,-0.7
D'Angelo Russell,LAL,20,44,9,35,27,4.8,11.5,41.9,1.6,4.7,33.2,1,1.5,66.7,0.6,3.1,3.7,3.4,2.4,1.2,0.2,1.6,1,0,12.3,-5.3
D.J. Augustin,DEN,28,32,22,10,15.4,1.4,3.7,37.6,0.7,1.9,38.3,0.8,1.1,76.5,0.2,1,1.1,1.9,0.9,0.4,0.1,1.2,0,0,4.3,-0.9
Damian Lillard,POR,25,39,16,23,36.1,8.4,19.9,42.3,3.1,8.1,38,4.6,5.3,87,0.6,3.7,4.4,6.9,3.3,0.9,0.3,2.4,9,0,24.6,0.2
Damien Inglis,MIL,21,8,2,6,5.3,0.3,1,25,0.1,0.6,20,0.4,0.5,75,0.1,1,1.1,0.3,0.5,0.3,0,0.6,0,0,1,-3.8
Damjan Rudez,MIN,30,17,4,13,8.3,0.8,1.9,43.8,0.6,1.5,40,0.2,0.2,100,0.1,0.4,0.4,0.4,0.4,0,0,0.9,0,0,2.5,0.2
Danilo Gallinari,DEN,27,38,16,22,34.5,5.4,13.2,40.6,1.7,4.6,36.4,6.8,7.8,87.5,1.1,4.6,5.7,2.5,1.3,0.7,0.4,1.8,3,0,19.3,-2.5
Danny Green,SAS,29,44,38,6,25.1,2.5,7,36.2,1.4,4.2,33.3,0.5,0.6,80,0.5,3.1,3.6,1.8,1.1,0.7,0.8,1.4,0,0,6.9,5.8
Dante Cunningham,NOP,29,41,14,27,19.6,1.7,3.8,43.3,0.6,1.8,35.1,0.3,0.5,65,0.6,2.6,3.2,0.6,0.3,0.5,0.4,1.9,0,0,4.3,-2.4
Darrell Arthur,DEN,28,41,14,27,21.1,3.2,6.9,47.3,0.4,1,41.5,0.5,0.6,80,1.2,2.9,4.1,1.2,0.9,0.9,0.7,2.5,2,0,7.4,0
Darren Collison,SAC,28,38,17,21,28.5,4.6,10.2,45.5,1.1,2.9,37.5,2.4,2.8,83.3,0.4,1.8,2.2,4.2,1.8,0.9,0,1.8,3,0,12.7,-1.2
Darrun Hilliard,DET,23,14,7,7,6.4,0.9,2.7,31.6,0.3,0.9,33.3,0.6,0.8,81.8,0.2,0.6,0.8,0.3,0.4,0.1,0,0.4,0,0,2.6,-0.9
David Lee,DAL,33,30,15,15,15.7,2.9,6.4,45.3,0,0,0,1.3,1.7,78.4,1.4,3,4.3,1.8,1.3,0.4,0.4,1.7,0,0,7.1,-1.3
David West,SAS,35,43,37,6,16.7,2.9,5.2,56.3,0,0.1,33.3,0.7,1,72.7,0.8,3.2,4,1.7,0.9,0.6,0.6,1.7,1,0,6.6,5.3
DeAndre Jordan,LAC,27,41,27,14,33.2,4.3,6,72.1,0,0,0,3.2,7.7,41.7,3.6,9.7,13.3,1,1.1,0.5,2.3,2.9,25,0,11.9,5.1
DeJuan Blair,WAS,27,24,11,13,8.2,1.2,2.7,43.8,0,0,0,0.2,0.5,45.5,0.8,1.3,2.2,0.4,0.6,0.3,0.1,2,0,0,2.5,-1.2
DeMar DeRozan,TOR,26,43,28,15,36.6,7.9,17.8,44.5,0.6,1.8,30.4,6.9,8.2,84.4,0.8,3.7,4.5,4.2,2.3,1,0.3,2,2,0,23.3,2.3
DeMarcus Cousins,SAC,25,35,19,16,33.7,9.1,20.3,44.7,1.2,3.5,34.7,7.4,10,74,2.5,8.9,11.4,2.7,3.5,1.3,1.3,3.9,25,0,26.7,3.1
DeMarre Carroll,TOR,29,23,14,9,31.9,4.3,11.1,38.8,1.8,4.8,37.8,1.2,2.1,58.3,1.2,3.6,4.8,1,1.2,1.7,0.2,2.5,0,0,11.7,0.3
Delon Wright,TOR,24,9,7,2,2.7,0.2,1,22.2,0,0.1,0,0,0,0,0.1,0.6,0.7,0.4,0.1,0,0,0.1,0,0,0.4,-0.6
Dennis Schroder,ATL,22,43,25,18,21.5,4.1,9.9,41.6,1,3.2,32.4,1.5,1.9,79.3,0.4,2.3,2.7,4.7,2.1,1.1,0.1,1.6,1,0,10.8,3.9
Deron Williams,DAL,32,37,20,17,32.5,5.2,12.1,42.6,1.5,4.1,35.5,2.6,2.9,89.9,0.3,2.9,3.2,5.6,2.4,1,0.3,2.2,1,0,14.4,0.3
Derrick Favors,UTA,24,26,11,15,32.6,6.9,13.2,52.3,0,0,0,3.1,4.4,70.2,3.2,5.4,8.6,1.5,1.5,1.5,1.2,2.4,9,0,16.8,-1.5
Derrick Rose,CHI,27,37,20,17,32.6,6.4,15.8,40.7,0.6,2.4,26.4,2.2,2.7,79.2,0.5,2.7,3.2,4.6,2.7,0.6,0.3,1.5,0,0,15.6,-1.8
Derrick Williams,NYK,25,45,22,23,16.7,3,6.8,44.1,0.4,1.9,23.3,2.7,3.6,75.5,0.6,3,3.6,0.8,0.7,0.4,0.1,1,2,0,9.2,-1.4
Devin Booker,PHX,19,39,11,28,20.4,3.3,7,47.3,1,2.3,42.7,1.6,2,81,0.3,1.5,1.8,1.2,1.2,0.5,0.1,2.2,1,0,9.2,-2.9
Devin Harris,DAL,33,39,22,17,19.8,2.7,5.8,46,0.7,2.1,33.7,1.5,2.3,68.2,0.3,1.7,2.1,2.1,0.9,1,0.2,2,0,0,7.6,-2.1
Devyn Marble,ORL,23,8,6,2,2.5,0.1,0.8,16.7,0,0.3,0,0,0.1,0,0.1,0.3,0.4,0,0.1,0.1,0,0.3,0,0,0.3,-0.8
Dewayne Dedmon,ORL,26,26,11,15,11.8,1.2,2.5,50,0,0,0,0.8,1.2,71,0.9,2.5,3.4,0.1,0.5,0.4,1,2.1,0,0,3.3,-0.7
Dion Waiters,OKC,24,45,33,12,26.9,3.7,9.2,39.9,1,2.8,34.4,1.4,2,73,0.5,2.4,2.9,2,1.6,0.9,0.2,1.8,0,0,9.7,3.6
Dirk Nowitzki,DAL,38,41,22,19,30.8,6.4,14.3,44.8,1.8,4.5,39.1,3.1,3.5,90.2,0.8,6,6.8,1.9,1.1,0.6,0.6,1.8,6,0,17.7,4
Donald Sloan,BKN,28,24,3,21,17,1.8,4.1,43.4,0.4,1,36,0.8,1,78.3,0.4,2.1,2.5,4.2,1.4,0.3,0,0.8,1,0,4.7,-1.6
Donatas Motiejunas,HOU,25,14,7,7,13.4,2.2,4.4,50,0.5,1.2,41.2,0.6,1,64.3,0.5,1.6,2.1,1,1.8,0.4,0.1,1.8,0,0,5.6,0
Doug McDermott,CHI,24,42,24,18,21.5,3,6.8,43.6,1.3,3,43.3,0.4,0.5,84.2,0.5,1.9,2.3,0.7,0.7,0.2,0.1,1.4,0,0,7.6,0.2
Draymond Green,GSW,26,43,40,3,34.6,5.2,11,47.3,1.5,3.6,40.9,2.8,4.2,67.4,1.8,7.7,9.5,7.3,2.8,1.4,1.3,2.9,16,8,14.7,14.3
Drew Gooden,WAS,34,12,9,3,14.8,1.6,5,31.7,0.3,1.9,17.4,0.4,0.5,83.3,1.8,2.7,4.4,0.7,0.7,0.3,0.6,1.8,2,0,3.9,-3.3
Dwight Howard,HOU,30,37,19,18,32.5,5.3,8.7,61.2,0,0.1,0,3.8,6.9,55.1,3.6,8.5,12.1,1.5,2.4,1,1.6,3.2,21,0,14.4,1.1
Dwight Powell,DAL,24,43,23,20,17.3,2.6,5.3,48.2,0,0.2,20,1.7,2.3,73,1.4,3.6,5,0.7,0.7,0.6,0.5,2.2,3,0,6.9,-2.5
Dwyane Wade,MIA,34,41,21,20,30.1,7.1,15.6,45.6,0.2,0.8,22.6,3.8,5,76.5,1.2,2.8,4,4.5,2.6,0.9,0.4,1.4,1,0,18.2,-1.5
E'Twaun Moore,CHI,27,32,17,15,15.2,2,4.2,48.9,0.4,1,40.6,0.3,0.6,57.9,0.2,1.4,1.6,0.8,0.6,0.5,0.1,1.2,0,0,4.8,0.7
Ed Davis,POR,27,45,19,26,21.1,2.7,4.3,61.9,0,0,0,1.4,2.7,52.5,3,4.4,7.3,1.1,0.8,0.6,0.7,2.6,8,0,6.8,-0.7
Elfrid Payton,ORL,22,38,19,19,29.5,4.5,10.7,42,0.4,1.1,35.7,1.8,2.9,61.8,1,2.7,3.7,6,2.5,1.4,0.2,2.1,6,0,11.2,-1.3
Elijah Millsap,UTA,28,20,9,11,8.6,0.6,2,28.2,0.1,0.6,8.3,0.7,0.9,72.2,0.3,1.5,1.8,1,0.5,0.4,0.2,1.7,0,0,1.8,1.1
