Player,TEAM,AGE,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,+/-
Omer Asik,NOP,29,36,16,20,16.9,1.2,2.3,50,0,0,0,1.1,1.7,63.3,1.7,3.8,5.5,0.4,1,0.3,0.4,2,0,0,3.4,-1.2
Omri Casspi,SAC,28,38,18,20,30,4.7,9.2,50.9,1.9,4.3,44.8,1.2,2.1,59,0.8,5.6,6.4,1.5,1.7,0.8,0.3,2.7,6,0,12.4,2.2
Otto Porter,WAS,23,34,15,19,32,4.9,10.6,45.8,1.2,3.8,31.3,1.6,2,78.3,1.4,4.2,5.6,2.1,1.2,1.6,0.4,2.4,3,0,12.5,-0.7
PJ Hairston,MEM,23,41,19,22,19.9,2.2,6.1,36.8,1.2,3.8,31.6,0.8,1,82.1,0.4,2.4,2.8,0.7,0.5,0.5,0.1,2.3,1,0,6.5,-2.4
PJ Tucker,PHX,31,45,14,31,28.4,2.5,6,41,0.8,2.2,35,1,1.3,74.1,1.7,4,5.6,1.6,1.1,1.2,0.2,2.2,1,0,6.7,-3.5
Pablo Prigioni,LAC,39,23,15,8,14.1,0.9,2.2,41.2,0.5,1.4,33.3,0.1,0.1,100,0.7,1.1,1.8,2.2,0.8,1.1,0,1.3,0,0,2.4,-0.7
Pat Connaughton,POR,23,18,7,11,3,0.2,1,22.2,0.1,0.4,25,0.1,0.1,100,0.2,0.4,0.6,0.1,0.3,0.1,0,0.2,0,0,0.7,-0.1
Patrick Beverley,HOU,27,34,17,17,25.6,3.2,7.6,42.5,1.7,4,43.7,0.7,1.1,69.4,0.6,2,2.6,2.5,1.3,1.1,0.3,3.1,0,0,8.9,0.4
Patrick Patterson,TOR,27,43,28,15,23.9,2.4,6.1,39.3,1.3,4,33.9,0.2,0.2,90,0.8,3.4,4.2,1.1,0.8,0.7,0.3,1.4,0,0,6.3,3.2
Patty Mills,SAS,27,44,38,6,20.3,3,7,43.4,1.4,3.6,38,0.4,0.5,80,0.3,1.5,1.8,2.4,0.8,0.9,0.1,1.1,0,0,7.8,7.6
Pau Gasol,CHI,35,41,24,17,31.5,6.5,14,46.7,0.2,0.6,34.6,3.2,4,79.5,2.3,8.4,10.8,3.1,2,0.6,2.1,2,24,0,16.5,1.4
Paul George,IND,26,44,23,21,35.4,7.5,18.2,41.2,2.9,7.5,38,5.9,6.9,84.9,0.9,6.3,7.2,3.8,3.8,2,0.3,2.9,9,0,23.7,3.3
Paul Millsap,ATL,31,44,26,18,32.8,6.5,13.2,49.4,0.8,2.7,30.5,4.5,5.8,78.1,2.5,6.3,8.8,3.5,2.3,1.9,1.4,3,16,0,18.4,0.5
Paul Pierce,LAC,38,40,27,13,17.4,2,5.6,35.1,1.1,3.5,31.9,0.8,0.9,81.1,0.2,2.6,2.8,0.9,0.7,0.5,0.2,1.7,0,0,5.8,0.1
Phil Pressey,POR,25,14,1,13,12.1,1.5,3.9,38.2,0.3,0.9,30.8,0.6,1.3,50,0,1.6,1.6,3.3,1.4,0.8,0.1,1,0,0,3.9,-0.4
Quincy Acy,SAC,25,22,8,14,11,1.4,2.5,57.4,0.2,0.4,50,0.7,1,72.7,0.9,1.5,2.4,0.4,0.3,0.4,0.4,1.3,0,0,3.7,-2.1
RJ Hunter,BOS,22,22,13,9,11,1.1,3.3,34.7,0.5,2.1,25.5,0.2,0.3,83.3,0.1,1.2,1.3,0.4,0.3,0.5,0.2,1.3,0,0,3,-1.3
Rajon Rondo,SAC,30,41,19,22,35,4.9,10.9,44.9,0.7,2.1,32.9,1.2,2.2,56,1.2,5.3,6.5,11.6,3.9,1.8,0.2,2.2,21,5,11.7,-0.9
Ramon Sessions,WAS,30,41,20,21,21.3,3.4,7.1,47.4,0.5,1.4,32.2,2.8,3.7,76.8,0.3,2.2,2.5,3,1.3,0.7,0.1,1.5,0,0,10.1,-0.8
Randy Foye,OKC,32,44,17,27,19.9,2.2,6.4,34.3,0.9,3.2,28.2,0.8,1,82.2,0.3,1.5,1.8,2.1,1.1,0.5,0.3,1.5,0,0,6.2,-1.5
Rashad Vaughn,MIL,19,38,16,22,11.3,0.8,2.7,29.8,0.5,1.4,36.5,0.2,0.2,88.9,0.2,1,1.2,0.4,0.4,0.3,0.2,0.8,0,0,2.3,-3.1
Rasual Butler,SAS,37,28,26,2,9.2,1,2.3,44.6,0.4,1.2,30.3,0.3,0.4,70,0,1.2,1.2,0.6,0.2,0.3,0.5,0.2,0,0,2.7,2.6
Raul Neto,UTA,24,42,19,23,19.3,2.3,5.4,41.7,0.8,2.1,38.9,0.5,0.6,74.1,0.3,1.2,1.5,2.4,1.4,0.9,0,1.6,0,0,5.8,0.1
Ray McCallum,SAS,25,18,17,1,9.9,1.1,2.4,43.2,0.1,0.5,22.2,0.3,0.3,100,0.2,0.9,1.1,1.3,0.4,0.2,0.2,0.6,0,0,2.6,1.7
Raymond Felton,DAL,32,44,24,20,26.5,3.3,8.2,40.4,0.9,2.7,32.5,1.7,2,84.9,0.3,2.8,3.1,3.4,1.6,0.8,0.2,1.6,2,1,9.2,-0.4
Reggie Bullock,DET,25,17,10,7,5.1,0.1,1.1,5.3,0.1,0.6,10,0.2,0.2,100,0.2,0.3,0.5,0.2,0.1,0.1,0,0.3,0,0,0.4,-4.2
Reggie Jackson,DET,26,44,23,21,30.9,7,16.2,43.3,1.4,4.1,34.1,3.5,4.1,84.6,0.8,2.9,3.7,6.6,2.8,0.8,0.1,2.2,5,0,18.9,2.6
Richard Jefferson,CLE,36,39,29,10,19.5,2,4.6,43.6,0.9,2.5,37.5,0.7,1.3,58,0.2,1.3,1.4,0.8,0.7,0.5,0.3,1.9,0,0,5.7,-1.5
Richaun Holmes,PHI,22,32,5,27,14,2.5,4.2,59,0.2,0.9,20.7,1.1,1.5,72.3,1.1,1.2,2.3,0.6,0.6,0.3,0.7,1.7,0,0,6.2,-1.9
Ricky Rubio,MIN,25,39,13,26,30.2,2.8,7.9,35.2,0.7,2.3,30.3,3.4,4.1,83.2,0.7,3.7,4.4,8.6,2.4,2.2,0.1,2.6,5,0,9.7,0.6
Robert Covington,PHI,25,35,6,29,26.2,3.6,9.6,37.3,2,6.1,33.5,1.7,2.2,78.9,0.8,4.7,5.5,1.6,2.4,1.6,0.6,3.4,2,0,10.9,-5
Robert Sacre,LAL,27,15,2,13,13,1.2,2.9,40.9,0,0,0,0.7,1.3,50,1.1,1.3,2.5,0.7,0.5,0.1,0.5,1.8,0,0,3.1,-3.1
Robin Lopez,NYK,28,46,22,24,25.1,3.8,7.3,51.9,0,0,0,1.2,1.5,82.4,2.5,3.5,6,1.5,1.6,0.2,1.4,2.6,4,0,8.8,-1
Rodney Hood,UTA,23,41,18,23,30.5,4.7,11.4,41.2,1.8,5.2,34.9,2.4,2.7,88.4,0.4,2.8,3.2,2.6,1.6,0.9,0.2,3,0,0,13.6,0.7
Rodney Stuckey,IND,30,33,19,14,25,3.6,8.8,41,0.3,1.5,20.8,2.3,2.8,82.8,0.5,3,3.4,2.6,1.5,0.8,0.2,1.4,0,0,9.8,0.5
Rondae Hollis-Jefferson,BKN,21,19,5,14,22,2.1,4.3,48.1,0.1,0.3,20,1.1,1.6,66.7,1.7,4.4,6.1,1.4,1.1,1.4,0.4,2.2,2,0,5.2,-2.4
Ronnie Price,PHX,33,34,11,23,14.8,1.4,3.6,38.2,0.9,2.5,38.1,0.5,0.6,89.5,0.3,0.8,1.1,1.7,0.8,1.1,0.1,2.3,0,0,4.2,0.7
Roy Hibbert,LAL,29,46,9,37,25.2,2.4,5.6,43.8,0,0,0,1.9,2.2,84.3,1.7,3.9,5.6,1.4,1.2,0.4,1.6,3.2,3,0,6.7,-8
Rudy Gay,SAC,29,39,16,23,34,7.1,15.2,46.6,1,3.2,32.5,2.7,3.4,78.9,1.6,5.2,6.8,1.7,1.8,1.3,0.7,2.6,3,0,17.9,-1.8
Rudy Gobert,UTA,24,23,12,11,32.7,3.4,5.9,57.8,0,0,0,2.4,4,60.9,3.1,7,10.1,1.7,1.9,0.8,2.7,3.2,5,0,9.2,3.9
Russ Smith,MEM,25,15,6,9,4.4,0.5,1.5,31.8,0.1,0.3,20,0.5,0.9,61.5,0.1,0.5,0.6,0.7,0.5,0.3,0.1,0.3,0,0,1.5,-2.7
Russell Westbrook,OKC,27,45,33,12,33.8,8.4,18.5,45.2,1.2,4.1,28.5,6,7.3,81.8,1.7,5.4,7.1,9.8,4.2,2.5,0.3,2.4,28,5,23.9,9.9
Ryan Anderson,NOP,28,41,15,26,31.3,5.9,13.6,43.6,2.1,5.4,39.1,2.9,3.3,88.1,1.9,4.1,6,1,1.6,0.6,0.4,1.7,4,0,16.8,0.4
Ryan Hollins,MEM,31,11,5,6,9.8,1,1.7,57.9,0,0,0,0.2,0.3,66.7,1.3,0.9,2.2,0.3,0.5,0.2,0.5,1.4,0,0,2.2,-5.2
Ryan Kelly,LAL,25,17,0,17,13.5,1.8,4.6,38,0.3,1.5,19.2,1.4,1.9,72.7,0.6,3.2,3.8,0.8,0.6,0.3,0.4,0.9,0,0,5.2,-1.3
Salah Mejri,DAL,30,7,2,5,7.5,1.1,1.4,80,0,0,0,0.9,1.3,66.7,0.4,1.7,2.1,0.1,0.4,0.1,0.7,0.9,0,0,3.1,3.3
Sam Dekker,HOU,22,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0.3,0,0,0,0,0,-0.7
Sasha Kaun,CLE,31,9,7,2,4.3,0.3,0.6,60,0,0,0,0.2,0.4,50,0.9,0.2,1.1,0.2,0.7,0.2,0.2,0.7,0,0,0.9,-1
Sasha Vujacic,NYK,32,29,13,16,12.2,1.1,3.6,29.5,0.4,1.8,23.5,0.3,0.5,71.4,0.3,1.4,1.8,1.2,0.7,0.5,0.1,1.1,0,0,2.9,-0.9
Sean Kilpatrick,BKN,26,5,2,3,6.9,0.6,2.2,27.3,0.6,2.2,27.3,0.6,0.8,75,0.2,0.2,0.4,0.2,0.2,0.4,0,0.6,0,0,2.4,-3.6
Serge Ibaka,OKC,26,45,33,12,32.6,5.6,11.3,49.6,0.8,2,40.2,1.2,1.6,75.7,1.8,4.9,6.7,0.8,1.6,0.4,2.2,2.6,4,0,13.2,8.4
Sergey Karasev,BKN,22,19,3,16,6.1,0.4,1,42.1,0.1,0.5,20,0.3,0.3,100,0.1,0.7,0.8,0.2,0.3,0.1,0,0.3,0,0,1.3,-0.7
Seth Curry,SAC,25,22,9,13,10.8,1.1,2.6,43.9,0.5,1.2,40.7,0.8,0.9,85,0.1,0.7,0.8,0.8,0.5,0.3,0,0.6,0,0,3.5,0.7
Shabazz Muhammad,MIN,23,45,14,31,20.2,3.6,7.6,48.1,0.6,1.8,32.1,2.1,2.7,77,1,2.1,3.1,0.4,0.9,0.2,0.1,1.2,0,0,10,-3.4
Shabazz Napier,ORL,24,36,18,18,12.1,1.4,4,34,0.6,1.9,31.3,0.8,1,80.6,0.2,0.8,1,2,1,0.5,0,0.8,0,0,4.1,-0.8
Shane Larkin,BKN,23,40,10,30,20.3,2.7,6.1,44.5,0.6,1.5,39,0.8,1,76.9,0.2,1.9,2.1,3.7,1.6,1.2,0.2,1.6,0,0,6.8,-5
Shaun Livingston,GSW,30,41,37,4,19.9,2.6,5.1,50.7,0,0.3,9.1,0.9,1,92.3,0.6,1.3,1.9,2.9,0.8,0.5,0.3,1.8,0,0,6.1,0.8
Shayne Whittington,IND,25,2,0,2,3.3,0.5,0.5,100,0,0,0,0,0,0,0,0.5,0.5,1,1,0,0.5,1,0,0,1,-3.5
Shelvin Mack,UTA,26,18,10,8,8.7,1.9,4.3,43.6,0.2,1.2,18.2,0.4,0.6,72.7,0.1,0.9,1,1.9,0.7,0.4,0,0.3,0,0,4.4,-1.2
Solomon Hill,IND,25,23,10,13,10.7,1.2,2.9,40.3,0.1,0.9,15,0.4,0.4,100,0.5,1.5,2,0.7,0.3,0.4,0.3,0.9,0,0,2.9,-0.3
Sonny Weems,PHX,29,23,6,17,10.3,0.7,1.9,37.2,0.3,0.7,37.5,0.3,0.5,63.6,0.2,1,1.2,1.3,1,0.3,0,1,0,0,2,-2.1
Spencer Dinwiddie,CHI,23,9,4,5,12.3,1.6,3.9,40,0.1,0.8,14.3,1.2,2.1,57.9,0,1,1,1.4,0.6,0.2,0,1.8,0,0,4.4,-5.3
Spencer Hawes,CHA,28,38,18,20,17.8,2.1,5.3,39,0.6,1.8,32.8,0.9,1.1,85.7,0.8,3.4,4.2,2,1,0.4,0.3,1.9,1,0,5.6,1.5
Stanley Johnson,DET,20,44,23,21,22.2,3.1,8.3,37.8,0.9,2.8,31.7,1,1.3,79.3,0.8,3.2,4,1.3,1.4,0.7,0.2,2.3,2,0,8.2,-1
Stephen Curry,GSW,28,42,39,3,33.9,10,19.5,51,4.9,10.8,45.1,5.3,5.9,91.1,0.8,4.6,5.4,6.6,3.4,2.1,0.1,2,9,2,30.1,15.8
Steve Blake,DET,36,29,17,12,15.5,1.6,4.2,38.8,0.9,2.7,35.1,0.2,0.2,71.4,0.2,1.3,1.6,3,1.4,0.5,0.1,1,0,0,4.3,-1.1
Steve Novak,MIL,33,5,5,0,4.2,0.8,1.8,44.4,0.6,1.2,50,0,0,0,0,0.6,0.6,0,0,0,0,0.2,0,0,2.2,0.4
Steven Adams,OKC,22,44,32,12,24.3,2.8,4.7,60,0,0,0,1.5,2.4,62.5,2.5,3.8,6.3,0.6,0.9,0.4,1.2,2.8,4,0,7.1,7
TJ McConnell,PHI,24,44,6,38,21.3,2.6,5.6,46,0.5,1.3,34.5,0.3,0.5,68.2,0.6,3.2,3.7,4.9,2,1.3,0.2,1.5,0,0,6,-3.3
TJ Warren,PHX,22,44,14,30,22.8,4.7,9.5,49.8,0.6,1.5,40.9,1,1.4,71.7,1.3,1.9,3.2,0.9,0.7,0.8,0.4,2,1,0,11,-2.3
Taj Gibson,CHI,31,43,25,18,25.4,3.3,6.4,51.3,0,0,0,1.2,1.7,68,2.9,4.2,7,1.3,1,0.5,1,2.3,4,0,7.8,-1.3
Player,TEAM,AGE,GP,W,L,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,PTS,+/-
Tarik Black,LAL,24,13,1,12,11.5,1.7,2.8,59.5,0,0,0,0.5,1.5,36.8,1.2,3.2,4.4,0.2,0.6,0.2,0.3,1.9,0,0,3.9,1.5
Tayshaun Prince,MIN,36,45,14,31,20.9,1.5,3.2,47.9,0,0.3,16.7,0.1,0.2,54.5,0.4,1.6,2,0.9,0.4,0.5,0.2,0.8,0,0,3.2,-1
Terrence Jones,HOU,24,39,19,20,23.4,3.9,8.4,46,0.6,1.8,34.7,1.6,2.5,65.3,1.5,3.4,4.9,1,1.2,0.5,0.9,1.9,0,0,10,-3.7
Terrence Ross,TOR,25,37,26,11,22.9,3.1,7.2,43.2,1.6,4.2,37.7,0.5,0.6,90.9,0.3,1.9,2.2,0.6,0.8,0.8,0.4,1.5,0,0,8.3,2.8
Terry Rozier,BOS,22,16,10,6,6,0.8,2.9,26.1,0.1,0.7,18.2,0.1,0.1,100,0.4,0.6,1,0.6,0.5,0,0,0.6,0,0,1.7,-0.5
Thabo Sefolosha,ATL,32,39,21,18,24.3,2.8,5.5,51.6,0.5,1.8,28.6,0.9,1.4,64.2,0.7,3.9,4.6,1.5,0.9,1.4,0.5,1.5,0,0,7,0.2
Thaddeus Young,BKN,28,44,11,33,32.2,6.9,13.4,51.3,0.1,0.5,21.7,1.4,2.4,59.6,2.6,6.3,8.9,1.5,1.9,1.5,0.4,2.5,19,0,15.3,-5.3
Thomas Robinson,BKN,25,39,9,30,9.9,1.5,3,49.2,0,0,0,0.5,0.9,55.6,1.3,2.2,3.5,0.2,0.7,0.4,0.5,1.1,1,0,3.5,-2
Tiago Splitter,ATL,31,32,20,12,16,2.3,4.4,51.1,0,0.1,0,1,1.3,80,1.3,2,3.3,0.8,0.7,0.5,0.4,2,0,0,5.5,3.1
Tibor Pleiss,UTA,26,11,6,5,7.1,1,2.3,44,0,0.2,0,0.2,0.2,100,0.5,0.8,1.4,0.2,0.7,0.1,0.2,1.7,0,0,2.2,-1.5
Tim Duncan,SAS,40,37,31,6,25.9,3.6,7.2,50.8,0,0.1,0,1.6,2.1,74.4,1.7,5.8,7.5,3,1.7,0.9,1.3,2.4,8,0,8.9,9.2
Tim Frazier,NOP,25,30,14,16,8.3,0.6,1.9,33.9,0.1,0.5,18.8,0.3,0.4,61.5,0.3,0.9,1.2,1.3,0.9,0.3,0,1,0,0,1.6,-0.7
Tim Hardaway Jr.,ATL,24,14,7,7,14,1.3,3.6,35.3,0.5,1.9,25.9,0.6,0.6,88.9,0.1,1.1,1.2,1.1,0.4,0.4,0.1,0.6,0,0,3.6,5.3
Timofey Mozgov,CLE,29,39,28,11,18,2.6,5.1,51,0,0.2,14.3,1.1,1.4,76.4,1.5,2.8,4.3,0.4,1,0.4,0.8,2.1,0,0,6.3,-0.1
Tobias Harris,DET,23,42,20,22,33.1,5.1,11.1,46.3,0.9,3,29.4,2.5,3.2,79.7,1.4,5.7,7.1,2.2,1.6,1,0.6,1.9,10,0,13.7,0
Toney Douglas,NOP,30,22,8,14,14.6,2.2,5,44,0.9,2.2,41.7,0.9,1,90.9,0.4,0.8,1.1,1.9,0.8,1,0,1.9,0,0,6.2,-1
Tony Allen,MEM,34,38,22,16,24.1,2.7,6.4,42,0.2,0.6,37.5,0.9,1.6,57.4,1.7,2.8,4.5,1,1.1,1.7,0.3,2.9,1,0,6.5,-1.3
Tony Parker,SAS,34,40,34,6,27.1,5.3,10,52.6,0.4,0.9,41.2,1.8,2.4,76,0.3,2.3,2.6,5.1,1.6,0.9,0.2,1.6,1,0,12.7,7
Tony Snell,CHI,24,41,25,16,21.9,2.1,5.8,36.9,1,2.9,36.8,0.5,0.5,90.9,0.3,3.2,3.5,1,1,0.3,0.3,1.5,1,0,5.8,1.8
Tony Wroten,NYK,23,8,0,8,18,2.8,8.1,33.8,0.4,2.1,17.6,2.5,4.6,54.1,0.3,2.4,2.6,2.5,3.6,0.4,0,1.4,0,0,8.4,-8.5
Trevor Ariza,HOU,31,44,22,22,34.2,4.1,10.3,39.5,2.1,5.8,35.4,1.3,1.7,76.3,0.7,4,4.7,1.9,1.4,1.8,0.2,2.2,0,0,11.5,-1.1
Trevor Booker,UTA,28,41,18,23,23.2,2.2,5.2,43.2,0.1,0.5,23.8,1.1,1.5,72.1,2.7,4,6.7,1,1.3,0.9,0.5,2.5,4,0,5.7,-0.6
Trey Burke,UTA,23,43,19,24,24.6,5,11.4,43.6,1.5,4.3,35.5,1.2,1.5,78.5,0.3,1.7,2.1,2.7,1.4,0.7,0.1,1.3,0,0,12.7,0.3
Trey Lyles,UTA,20,41,17,24,18.6,2,4.5,43.5,0.5,1,47.5,0.6,1,61,1,3.2,4.2,0.8,0.8,0.3,0.3,1.5,0,0,5,-0.4
Tristan Thompson,CLE,25,42,30,12,27.2,2.9,5.3,55.4,0,0,0,1.7,2.9,59.5,3.2,6.1,9.4,0.7,0.7,0.3,0.4,2.5,10,0,7.6,4.1
Troy Daniels,CHA,24,22,11,11,9.5,1.6,3.6,43.8,1.1,2.4,48.1,0.1,0.2,75,0.1,0.9,1,0.4,0.4,0.3,0,0.9,0,0,4.5,0.2
Ty Lawson,IND,28,38,16,22,24.6,2.4,6.2,39.1,0.6,1.9,32.4,1.2,1.7,70.8,0.5,1.4,1.9,4.1,1.8,0.9,0.1,1.5,1,0,6.7,-1.9
Tyler Ennis,MIL,21,20,9,11,9.3,1.2,2.9,40.4,0.2,0.7,30.8,0.4,0.5,70,0.2,0.8,0.9,1,0.6,0.2,0.1,1,0,0,2.9,-2.8
Tyler Hansbrough,CHA,30,24,13,11,7.7,0.8,1.8,43.2,0.1,0.1,66.7,0.7,1.3,50,1,1,2,0.3,0.5,0.2,0.2,1.3,0,0,2.3,-0.4
Tyler Johnson,MIA,24,34,17,17,24,3.3,6.9,48.1,0.8,2.1,38.6,1.5,1.9,79.7,0.8,2.2,3.1,2.2,1.3,0.7,0.4,1.8,0,0,8.9,-0.3
Tyler Zeller,BOS,26,27,16,11,8.8,1.7,3.9,45.2,0,0,0,0.9,1.4,67.6,0.8,1.5,2.3,0.3,0.7,0.1,0.1,1.4,0,0,4.4,-0.9
Tyreke Evans,NOP,26,24,11,13,31.2,5.6,12.8,43.5,1.3,3.4,39,3.1,3.8,82.2,0.8,4.5,5.3,6.8,3,1.3,0.3,2.7,6,0,15.6,0.4
Tyson Chandler,PHX,33,36,11,25,23.1,1.9,4.1,47.9,0,0,0,1.7,2.6,66.3,2.6,5.7,8.3,0.9,1.2,0.6,0.6,2,6,0,5.6,-6.1
Tyus Jones,MIN,20,9,1,8,10.9,1.2,3.4,35.5,0.2,0.4,50,0.3,0.6,60,0.3,1.3,1.7,1.6,0.9,0.4,0.1,0.7,0,0,3,-9.2
Udonis Haslem,MIA,36,21,12,9,8,0.7,1.8,36.8,0,0.3,16.7,0.3,0.3,100,0.3,1.9,2.2,0.6,0.2,0.2,0.1,0.6,0,0,1.7,-0.8
Victor Oladipo,ORL,24,38,19,19,30.3,5.2,12.6,41.2,1.4,3.9,36.1,2.1,2.6,81.6,0.6,4.3,4.8,3.9,2.2,1.3,0.6,2.3,2,1,13.9,0.5
Vince Carter,MEM,39,27,16,11,13.1,1.2,3.9,30.5,0.5,2.1,24.1,0.7,0.8,85.7,0.3,1.4,1.7,0.7,0.4,0.4,0.3,1.6,0,0,3.6,-0.8
Walter Tavares,ATL,24,8,4,4,7.2,1,1.9,53.3,0,0,0,0.4,1,37.5,0.8,1.1,1.9,0.3,0.5,0.1,0.6,0.6,0,0,2.4,-2.9
Wayne Ellington,BKN,28,43,10,33,18.5,2.4,6.4,37.8,0.9,2.8,31.1,0.6,0.7,80,0.2,1.8,2,0.8,0.6,0.6,0.1,0.9,0,0,6.3,-4.2
Wesley Johnson,LAC,28,43,28,15,17.9,2.4,5.5,43.2,1.2,3.5,34,0.4,0.7,60.7,0.4,2,2.5,0.5,0.6,0.9,0.6,1.8,0,0,6.3,1.5
Wesley Matthews,DAL,29,41,23,18,33,4.4,11.3,39,2.5,6.9,35.6,1.6,1.9,85.9,0.4,2.8,3.2,1.7,1.1,1.1,0.3,2.2,0,0,12.9,3
Will Barton,DEN,25,44,17,27,29,5.6,12.7,44.2,1.6,4.3,38.1,2.5,3,85.5,0.9,5.1,6.1,2.4,1.6,0.9,0.4,1.8,3,0,15.4,-1.4
Willie Cauley-Stein,SAC,22,29,14,15,19.1,2.3,3.8,60.6,0,0,0,1,1.9,52.7,2,3.6,5.6,0.4,0.6,0.7,1.1,2.2,2,0,5.6,2.2
Willie Reed,BKN,26,24,5,19,10.3,1.8,3.1,58.7,0,0,0,0.6,1.3,50,1,1.7,2.7,0.2,0.5,0.1,0.5,1.3,0,0,4.3,-1.4
Zach LaVine,MIN,21,45,14,31,23,4.4,10.6,41.4,0.9,2.8,33.1,2.1,2.5,83.3,0.4,2.6,3.1,3.1,2,0.6,0.1,2.2,0,0,11.8,-3.4
Zach Randolph,MEM,34,40,22,18,28.6,5.7,11.9,48.1,0,0.2,16.7,2.3,3,76,3,5.1,8,1.5,1.4,0.6,0.2,2,10,0,13.8,-0.9
Zaza Pachulia,DAL,32,43,24,19,29.2,3.5,7.3,47.9,0,0,0,3.4,4.3,79.3,3.7,7,10.7,1.9,1.9,1,0.4,2.7,20,0,10.4,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klay Thompson,GSW,26,42,38,4,32.9,7.4,16.1,46,3.2,7.5,42.5,2.6,3.1,82.4,0.5,3.4,3.9,2.4,1.9,0.5,0.8,2,0,0,20.5,12.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,LAL,37,38,7,31,29.1,5.5,15.9,34.7,1.6,6.6,24.9,3.2,4,78.4,0.7,3.3,3.9,3.5,2.3,0.9,0.2,1.9,1,0,15.8,-9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosta Koufos,SAC,27,42,20,22,20.6,3.2,5.9,53.4,0,0,0,1,1.6,58,2.4,3.6,6,0.3,0.8,0.5,0.9,2.6,3,0,7.3,-4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kostas Papanikolaou,DEN,25,26,8,18,11.3,0.9,2.5,36.4,0.4,1.2,31.3,0.3,0.5,64.3,0.3,1.2,1.5,0.6,0.8,0.5,0.2,0.9,0,0,2.6,-0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kris Humphries,ATL,31,27,13,14,17.1,2.4,5.8,40.8,0.9,2.4,34.8,1.1,1.1,93.5,1,3.2,4.2,0.6,0.7,0.1,0.5,1.6,0,0,6.7,-3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristaps Porzingis,NYK,20,46,22,24,28.2,5.1,12,42.6,1.1,3.2,33.8,2.7,3.1,85.4,2.1,5.8,7.8,1.2,1.7,0.8,2,2.9,16,0,14,1.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Anderson,SAS,22,41,36,5,12.2,1.4,2.7,50.5,0.1,0.4,33.3,0.7,1,71.4,0.2,1.9,2.1,1.1,0.6,0.4,0.4,1,0,0,3.6,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Korver,ATL,35,43,24,19,30.5,3.4,8,42.3,1.9,5.1,36.5,0.7,0.8,86.1,0.2,3.4,3.6,2.1,1.4,0.8,0.5,2,0,0,9.4,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Lowry,TOR,30,43,28,15,36.5,6.6,15.7,41.9,2.7,7.1,38.1,4.8,5.5,88.1,0.7,4.3,5,6.4,3,2.3,0.6,2.7,7,0,20.7,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle O'Quinn,NYK,26,36,18,18,11.7,1.9,3.8,50.4,0,0.3,0,0.8,1.1,76.9,1.2,2.6,3.9,1.2,1.1,0.4,0.6,1.8,1,0,4.7,-0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Singler,OKC,28,34,24,10,11.8,1,2.8,35.4,0.4,1.4,30.6,0.4,0.7,65.2,0.5,1.2,1.7,0.2,0.5,0.4,0.1,1.6,0,0,2.9,-1.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrie Irving,CLE,24,16,12,4,27,6,14.6,41.2,1.2,4.2,28.4,2.6,3,87.5,1,1.8,2.8,3.8,1.9,0.8,0.3,1.3,0,0,15.8,5.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaMarcus Aldridge,SAS,30,40,34,6,29.5,6.6,13.6,48.7,0,0.3,0,2.7,3.4,80.6,2.6,6.3,8.9,1.3,1.4,0.3,0.9,2.2,13,0,15.9,7.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Patterson,ATL,24,29,19,10,12.8,0.9,2.4,36.6,0.4,1.5,25.6,0.5,0.7,70,0.1,1.6,1.7,1.3,0.7,0.2,0.1,1.5,0,0,2.7,1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Stephenson,MEM,25,35,22,13,15.8,1.5,3.7,42.2,0.4,1.1,35,0.5,0.7,69.6,0.5,1.9,2.4,1.5,1.1,0.5,0.1,1.8,0,0,3.9,-1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Thomas,NYK,28,43,21,22,21.3,3.1,6.6,46.3,0.8,1.9,41.5,1.8,2,89.5,0.6,1.5,2.1,0.9,1,0.4,0.1,1.7,0,0,8.7,-1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
